Item,Occasion,Length,Color,Fabric,Care,Style,Lined,Belted,Closure,Sleeve,Neck,Size,Alterations,Purchase.Acquire,Designer,Season
Dress,Casual,Knee,Black,"Cotton, jersey",Machine,Tee Shirt,N,,Pull over,Short,Jewel,18,N,2014,Talbots,Summer3
Dress,Casual,Maxi,Black,"Cotton, knit",Machine,Tank,N,,Pull over,Tank,V,18,N,2014,HM,Summer2
Skirt,Casual,Knee,Black,"Cotton, lycra",Hand,Pencil,N,,Pull on,Elastic waist,"Embroidery, heart",16,N,2016,Torrid,Summer3
Skirt,Casual,Knee,Black,"Cotton, jersey",Machine,Pencil,N,,Pull on,Elastic waist,,18,N,2009,Eileen Fisher,All
Skirt,Dressy,Knee,Black,"Polyester, satin",Dry-clean,Full,N,,Zip,High waist,,18,N,2008,LB,All
Skirt,Work,Knee,Black,Polyester,Dry-clean,"Full, pleat",Y,,Zip,Rolled waist,,16,N,2007,Anne Klein,All
Skirt,Work,Knee,Black and white,"Cotton, ponte","Dry-clean, hand",Pencil,Y,,Zip,Rolled waist,Color block,18,"Y, 2016",2016,Talbots,Winter3
Skirt,Work,Knee,Black and white,Polyester blend,Hand,Pencil,N,,,Ethnic motif,,,,,,
Skirt,Work,Knee,"Black, brown, white",Polyester blend,Machine,Pencil,Y,,Zip,,Animal motif,20,N,2014,Talbots,Winter3
Skirt,Work,Knee,"Black, burgundy",Cotton,Machine,A-line,Y,,Zip,Tape,Pocket,20,N,2014,Eshakti,Winter3
Skirt,Work,Midi,"Black, burgundy","Polyester, ponte",Machine,Pencil,N,,Pull on,Elastic waist,bucle texture,,,,,
Skirt,Dressy,Knee,"Black, pink, cream, gray",Silk,"Dry-clean, hand","A-line, pleat",Y,,Zip,Tape,Floral,16,N,2004,"Elizabeth, Liz Claiborne",Summer2
Skirt,Work,Knee,"Black, pink, cream, green",Cotton,"Dry-clean, hand",Pencil,Y,,Zip,Rolled waist,Floral,20,"Y, 2013",2011,Talbots,Winter3
Skirt,Work,Knee,"Black, tan",Polyester,Dry-clean,Pencil,Y,,Zip,,Polka dot,18,N,2015,Talbots,All
Skirt,Dressy,Knee,"Black, white, orange","Polyester, satin",Dry-clean,A-line,N,,Zip,"Elastic, combo",Pocket,20,N,2016,LB,Summer2
Skirt,Casual,Knee,Blue,"Cotton, denim",Machine,Pencil,N,,Zip,Belt loop,Distressed ,18,N,2010,Target,All
Skirt,Casual,Knee,"Blue, dark","Cotton, denim",Machine,Pencil,N,,Zip,Belt loop,Dark rinse,18,N,2014,Ralph Lauren,All
Skirt,Any,,"Blue, goldenrod",Cotton,"Dry-clean, hand",Pencil,Y,,Zip,High waist. Bicycle embroidery,"Pocket, detail",,,,,
Skirt,Work,Knee,Brown,Cotton,Machine,"A-line, pleat",Y,,Zip,Detail,Pocket,18,N,2010,Vince Camuto,Summer2
Skirt,,,"Brown, pink, tan",Wool,,,,,,,,,,,,
Dress,Casual,Knee,Chambray,"Cotton, denim",Machine,"Shirt, patchwork",N,,Pull over,Long,Button covered,18,N,2016,Old Navy,Summer3
Skirt,Dressy,Midi,"Copper, sequins",Polyester,Dry-clean,A-line,Y,,Pull on,Elastic waist,,20,N,2015,Target,Winter2
Dress,Dressy,Knee,"Coral, Pink",Cotton,"Dry-clean, hand",Pleated full skirt with sash,Y,,Zip,Tank,Jewel,14,N,2006,Calvin Klein,Summer3
Dress,"Casual, Work",Midi,"Coral, Pink","Cotton, ponte","Dry-clean, hand",Pencil,Y,,Zip,Cap,Jewel,18,N,2013,Talbots,Summer3
Dress,"Dressy, Work",Knee,Bone,"Cotton, ponte","Dry-clean, hand",Pencil,N,,Pull over,Long,Jewel,16,N,2012,Talbots,Winter2
Dress,Casual,Knee,Denim,"Cotton, denim",Machine,A-line,N,Y,Button,Long,Button-down,18,N,2016,LB,All
Dress,Casual,Knee,Denim,"Cotton, denim",Machine,Straight,Y,,Pull over,Sleeveless,V,16,N,2016,Liz Claiborne,Summer3
Skirt,Casual,Maxi,"Denim, wash","Cotton, denim",Machine,A-line,N,,Zip,,,18,,2008,Dana Buchman,Summer3
Skirt,Work,,Gray,Wool,,,,,,,,,,,,
Skirt,Work,Knee,Gray,"Cotton, linen","Dry-clean, hand",Wrap,Y,,Zip,,,,,,,
Skirt,Casual,Knee,"Gray, multi","Cotton, knit",Machine,A-line,,,,,,,,,,
Skirt,Any,Midi,"Green, grassy",Cotton,Machine,"Full, pleat",N,Y,Zip,,Pocket,18,N,2015,Eshakti,Summer3
